x,y,yerr
725.529222735489,3.079535720861758e-06,1.3794289437713932e-08
725.2862020486039,3.0824465316674525e-06,1.4570380078638927e-08
725.0431813617188,3.0556710993830703e-06,1.0502864626426016e-08
724.8001606748337,3.073639478873586e-06,1.5013693668922366e-08
724.5571399879486,3.059425685029136e-06,1.7734409554408558e-08
724.3141193010634,3.0587494824069127e-06,1.7515772608329725e-08
724.0710986141784,3.064827538822643e-06,1.584741490236718e-08
723.8280779272933,3.055864099452176e-06,1.403960144621799e-08
723.58505724041,3.0621046523041795e-06,1.305319659967346e-08
723.3420365535248,3.067474694330879e-06,2.300080067199415e-08
723.0990158666398,3.129311751091246e-06,2.147513959204691e-08
722.8559951797547,3.170370691952353e-06,1.8709096337961977e-08
722.6129744928695,3.2281898013955542e-06,2.3447341130411635e-08
722.3699538059844,3.3195999182095452e-06,3.0830522971907415e-08
722.1269331190994,3.451254369975577e-06,3.198772860493419e-08
721.8839124322143,3.627032768708696e-06,3.9108652636402546e-08
721.6408917453291,3.770541384201101e-06,3.229707482564091e-08
721.397871058444,3.9431255650428335e-06,3.9405732820435646e-08
721.1548503715608,4.191699746650004e-06,3.7959296643645663e-08
720.9118296846757,4.422954850000694e-06,5.0177845513646174e-08
720.6688089977905,4.622377384903914e-06,4.7408987078299657e-08
720.4257883109054,4.91217229875037e-06,5.363201422938742e-08
720.1827676240204,5.131855231345775e-06,5.264751520819234e-08
719.9397469371352,5.357292627181902e-06,4.5816637958294556e-08
719.6967262502501,5.594372040204794e-06,4.693678464548228e-08
719.453705563365,5.755599394388033e-06,4.475343678012454e-08
719.21068487648,5.95397067210123e-06,4.601508605575685e-08
718.9676641895948,6.1211032873515436e-06,3.606185417058184e-08
718.7246435027115,6.25856988572955e-06,2.866352849278546e-08
718.4816228158264,6.375302966258529e-06,2.7765020218675337e-08
718.2386021289412,6.556657219065659e-06,2.969056421987894e-08
717.9955814420562,6.694034277100146e-06,2.8039441482885766e-08
717.7525607551711,6.864166667594478e-06,3.448243346456915e-08
717.509540068286,6.986631788024103e-06,3.821780275267541e-08
717.2665193814008,7.130049024236391e-06,3.422740026193777e-08
717.0234986945158,7.297595938679078e-06,4.5240094706949325e-08
716.7804780076307,7.51699892360708e-06,3.7989600135933677e-08
716.5374573207474,7.783496838420018e-06,6.456624830960952e-08
716.2944366338622,8.000597014276999e-06,7.181223532584446e-08
716.0514159469772,8.319183181231425e-06,7.107437827778468e-08
715.8083952600921,8.678107232703554e-06,6.091694598870146e-08
715.5653745732069,9.029758736089405e-06,4.0504422723202056e-08
715.3223538863218,9.351757650381673e-06,5.1130721346012936e-08
715.0793331994367,9.691679232209293e-06,7.95801444502512e-08
714.8363125125517,1.0013461406888517e-05,8.537376580799102e-08
714.5932918256665,1.035849307792337e-05,6.564166032435956e-08
714.3502711387814,1.071508527009733e-05,7.62489883757588e-08
714.1072504518982,1.0984930087305015e-05,7.460924551464052e-08
713.8642297650131,1.121948518507994e-05,6.773613178729e-08
713.6212090781279,1.1444673560327487e-05,4.8357954223317074e-08
713.3781883912428,1.1557293145224913e-05,3.612626153728394e-08
713.1351677043577,1.1565697755739479e-05,2.24675788624863e-08
712.8921470174726,1.1467151030697865e-05,4.4304838283592414e-08
712.6491263305875,1.1315923584627554e-05,6.640897671578636e-08
712.4061056437024,1.1067095404714554e-05,8.233297093069628e-08
712.1630849568173,1.0663238604348413e-05,9.585849500434147e-08
711.920064269934,1.022085004103179e-05,1.0470273652283e-07
711.6770435830489,9.740270428030582e-06,8.741436792132564e-08
711.4340228961638,9.175759357918346e-06,1.0278478842862067e-07
711.1910022092787,8.701614965555692e-06,9.209073408279594e-08
710.9479815223935,8.1658976588928e-06,8.77601364341239e-08
710.7049608355085,7.647458937329728e-06,7.925399715429346e-08
710.4619401486234,7.252289849317354e-06,6.737638098382704e-08
710.2189194617382,6.9096349943335594e-06,5.8710173929174483e-08
709.9758987748531,6.6551648451914935e-06,5.4457165188312635e-08
709.7328780879681,6.432410642781518e-06,4.556818934502542e-08
709.4898574010848,6.344183696621783e-06,2.764637046753661e-08
709.2468367141996,6.307896922382366e-06,2.4220870136725773e-08
709.0038160273145,6.419289352692792e-06,2.1101974362815182e-08
708.7607953404295,6.55353381059713e-06,3.336724600002149e-08
708.5177746535443,6.776422818533637e-06,4.192077002117877e-08
708.2747539666592,7.024769331214926e-06,5.0432804000202126e-08
